label,spa_qura1,spa_qura2
0,¿Hay una persona en vivo allí para responder mi pregunta?,En mi pregunta no puedo obtener una respuesta.
0,No puedo abrir una disputa. El tiempo se acabo,Mi tiempo de procesamiento ha terminado y quiero extenderlo.
0,"no, pagué con tarjeta y no me envió un correo electrónico sobre el número de pedido",He pagado mi pedido con tarjeta de crédito. pero muestra que no he pagado
0,¿QUÉ DEBO HACER CUANDO EL VENDEDOR SIGA ESTANDO,El vendedor me amenaza. ¿Qué hacer?
0,cómo suscribirse,¿Cuantos años tienes?
1,necesito ayuda con,necesito ayuda
0,Todavía tengo problemas con los vendedores que no aceptó para devolverme,He estado tratando de contactar a un vendedor pero él no me ha respondido
0,Necesito ayuda con mi pedido,Necesito ayuda para ubicar mi pedido
1,HOLA SIR MI PREGUNTA,por favor lee mi pregunta
1,necesito plantear una disputa,Necesito enviar una disputa al vendedor. ¿Que puedo hacer?
0,buenas tardes quisiera saber porfavor cuando me responderan a la apelacion que presente,El vendedor me dijo que podía reabrir la disputa.
1,incapaz de configurar la dirección de envío,¿Por qué mi dirección de envío no es aceptada?
0,"Espero que puedas entenderlo. Espero con interés escuchar de usted para confirmar, gracias de antemano. Atentamente.",como puedes entenderme
0,reemplazar la información de la tarjeta,¿Dónde está la información del producto?
0,por favor lea arriba,puedes leer
1,cómo desactivar mi cuenta?,cómo cancelar mi cuenta
1,Hice un pedido la semana pasada para una pantalla de teléfono,Acabo de hacer un pedido
0,vendedor tiene otro comportamiento,"el vendedor no tiene zapatos que pedí, el vendedor no responde"
1,¿Puedo saber si podré eliminar mi cuenta?,¿Cómo borro mi cuenta?
0,restaurar lista de orden,"Por error, cancelé el pedido. ¿Cómo lo restauro?"
0,ademas no veo el pedido,"El vendedor descontó el precio, pero cuando hago el pedido veo el precio anterior."
1,Solo quiero saber si mi pedido ha sido enviado,No sé si el remitente ha enviado mi pedido.
0,no se puede hacer un pedido?,No puedo hacer mi pedido desde Washington.
0,"Ahhhh comprobado. Perdon, ya lo he localizado, es que la tarjeta reune todos los movimientos al finalizar el mes. Perdona por las molestias y gracias por todo","Por motivos de seguridad, su banco no está permitido. Sentimos las molestias."
1,Necesito hablar con un poco de apoyo humano,necesito un humano para resolver mi problema
0,hoy no trabajais nadie en este servicio,¿Cuánto tardo en recibir un pedido que he hecho hoy?
0,Cómo enviar video,¿Qué puedo hacer después de enviar una queja?
1,La protección de mi comprador ha terminado y he recibido paquetes para 3 de 4 de mis pedidos ... No estoy muy contento. Mis vendedores no extendieron la protección de mi comprador a excepción de uno. Me gustaría que me devuelva mi dinero.,No he recibido mi pedido y quiero que me devuelvan mi dinero
0,Hice el pago primero.,¿Por qué fue cerrado después de que hice el pago?
0,Necesito los últimos 4 dígitos,¿Por qué no puedo ver mis últimas órdenes?
0,A que correo mando la imagen,¿Cómo me doy de baja de la lista de correo?
1,Cómo editar mi número de teléfono,¿Cómo puedo editar mi perfil?
1,¿Cómo puedo obtener un reembolso?,¿Cómo puedo obtener mi reembolso?
0,El vendedor se niega a reembolsar o reenviar,El vendedor se niega a enviar mi pedido después de que pagué
0,y recibió el monto del reembolso y la disputa cerrada,El monto de mi reembolso es menor
1,¿Puedo hacer una pregunta?,quiero hacer una pregunta
0,no me contesta el proveedor,¿Dónde está el mensaje que me ha enviado el proveedor?
1,CÓMO QUITAR MI TARJETA,Quiero eliminar los detalles de mi tarjeta
1,¿Cómo agrego evidencia o respondo a mi disputa?,¿Cómo agregar videos en mi disputa?
1,Necesito una persona real para chatear,Quiero hablar con una persona real
0,Alrededor de un mes más o menos me pidieron que proporcionara documentos de validación. Envié todos los documentos que solicitó. No han pasado dos meses y me piden que los envíe nuevamente. ¿Qué diablos? ¿Por qué?,Tengo curiosidad por ti
0,Hola. He enviado documentación para probar el método de pago pero no me permite comprar. por favor abra la cuenta,Abrí una nueva cuenta y no me dejan comprar cosas aquí
0,"Entonces, ¿fue un error que el vendedor quiere que confirme el pedido?",Cometí un error en las calificaciones del vendedor. ¿Que puedo hacer?
0,luffy puedo tener la dirección o dirección hinchada me dio ayer,¿Puedo tener una dirección de correo electrónico?
0,lo recibi,No he recibido nada
0,"Lo sé, no es la primera vez. ¿Puedes echar un vistazo a mi orden y decirme por qué el estado está terminado, pero no tengo los artículos?",No lo sé.
1,cómo al azar método de envío?,¿Cómo puedo cambiar el método de envío?
0,mi envío está cancelado,¿Por qué se cancela mi pedido?
0,Mis formularios y documentos no van,¿Cuándo voy a recibir mi pedido?
0,"Después del pago, ¿cómo informo que lo hice? Voy a hacer la unión del oeste, y ¿cómo lo hago?","Hice el pago en moneda en el banco, ¿cómo recibo esa devolución?"
0,Quiero saber más sobre el producto,Quiero saber más sobre el método de pago.
0,¿Cómo extiendo la protección del comprador?,¿Debo crear una cuenta de protección del comprador?
1,Yo uso facturas.,¿Cómo puedo obtener mis facturas de compras?
0,¿Cómo puedo apelar mis órdenes que no fueron procesadas por razones de seguridad?,¿Pasó mi última transacción?
0,"Mira, pedi dos memorias, una no funciona ni bien llegó, por eso hizo el reclamo, ahora la segunda tampoco funciona. Estoy recontra enojado con el vendedor y con el intermediario o sea ustedes",¿Por qué no funciona el botón de pago?
0,Deposité en dos ocasiones y no se registra el pago.,¿Cómo sé si se hizo el pago?
0,No satisfecho con la disputa,cómo verificar el motivo de la disputa
0,¿Qué es el cupón de vendedores?,"Quiero usar este cupón, ¿cuál es el código?"
0,?Qué puedo hacer cuando el vendedor no responde?,"El pedido finalizó cuando devolví los productos, ¿qué puedo hacer?"
0,"Si vendo aquí, ¿puedo obtener el pago enviado a mi cuenta de PayPal?",¿Puedo usar PayPal para comprar mis artículos?
0,hablo con saller y él me dijo por qué esto en 69 días porque resolvió mi pregunta,Mi proveedor me dijo que no recibió mi pago.
0,Recibí un artículo hoy que me han emitido un reembolso. ¿cómo puedo pagar ahora?,Me han enviado un artículo defectuoso
1,por favor inicia chat,Chat en vivo por favor
0,pago no procesado,¿Por qué tarda tanto antes de que se procese mi pago?
0,al realizar una compra no deja pagar con ninguna tarjeta nueva que agregue,¿Puedo pagar con una tarjeta brasileña?
0,"Me gustaría un número de seguimiento, ¿cómo puedo obtener uno?",¿Cómo sabría si el número de seguimiento está disponible?
1,"Hola, pedí un disfraz de cosplay con la moneda equivocada; Cancelé el pedido y el vendedor me dijo que se aclaró de inmediato, pero ahora no hay suficiente crédito en la tarjeta; ¿Podría amablemente recibir la cantidad lo más rápido posible? Tengo que volver",¿Cómo recibo un reembolso con tarjeta de crédito?
1,como puede ayudarme,¿Puedes ayudarme?
0,"Hola, tengo un problema, todos mis paquetes no llegan a destino y se envían al remitente. ¡Revisé la dirección que registré en mi cuenta y es la dirección correcta!",hola tengo un problema con una tienda
0,mi cuenta no me permite hacer pedidos hasta que valide mi cuenta VIA formulario de apelación,"Lo sentimos, su cuenta no le permite comprar productos internacionales en línea"
0,tengo una apelación en proceso,Me he registrado en el sitio
0,mi pedido aún está en proceso,Mi orden todavía está esperando el pago
1,cómo restablecer la contraseña de mi cuenta,¿Cómo establecer mi contraseña?
0,"Le envío un mensaje a mi vendedor, pero mi paquete aún no llegó",No puedo cargar fotos en mi mensaje al vendedor
1,el vendedor acaba de decir que necesita esperar algunos días.,Espere mi reembolso y el vendedor nunca respondió
0,Quiero enviar un correo electrónico,¿Puedo enviarte un correo electrónico?
0,¿Desea saber cómo ponerse en contacto con una empresa que utiliza una marca comercial sin autorización?,"Me gusta pedir un producto, pero no sé cómo contactarme con la empresa"
1,Necesito hablar con el servicio en línea.,Necesito hablar con una persona
1,"Ya abrí una disputa, pero la rechazan",Ya abrí una disputa
0,entonces quien carajos me responde,"Envío mensajes al proveedor, pero no me responde."
0,no puedes ayudarme eres una computadora,¿Me puedes ayudar?
0,envío en Irán,¿Puedo cambiar mi envío a envío gratis?
0,"instar al vendedor a enviar el ite,",¿Cuál es el límite de tiempo para que el vendedor envíe mi pedido?
1,conecta el chat en vivo de nuevo,podemos chatear en vivo?
0,El pago con la Visa MasterCard no se realizó con éxito,¿Cómo compruebo si he hecho el pedido con éxito?
0,no puedo ver el historial de disputas,No puedo pagar con tarjeta de débito
1,cómo devolver el artículo,¿Cómo devuelvo este artículo para obtener un reembolso?
0,Qué pasa si no obtengo mi reembolso,¿Cuándo recibiré mi reembolso por la orden cancelada?
1,hablar con humanos,cualquier humano allí
0,tengo al cuenta bloqueada,Mi cuenta está inhabilitada. Tengo que activarla.
0,NO quiero navegar por el sitio en idioma italiano. ¡QUIERO LEER LA DESCRIPCIÓN ORIGINAL DE INGLÉS para cada artículo !!!!,Quiero devolver el artículo para un reembolso
0,¿Ya recibiste mi pedido?,No recibí mi pedido
0,?Cómo elimino un pedido?,¿Cómo elimino mi información?
0,Estoy mirando papel mural de papel tapiz de registro en madera súper grueso 3D,No puedo conectarme
1,proceso de recuperación de contraseña,No recuerdo la contraseña
0,Abrí una orden y el producto se acabó,¿Cómo presento una disputa después de recibir mis bienes y el tiempo se agotó?
0,Trae dinero para realizar pedidos pendientes,"Congelé la orden, ¿qué hacer para recuperar el dinero?"
1,quiero enviar la orden en china,Deseo enviar mi producto a China pero no puedo encontrarlo en la lista de países
0,Por qué se cancela el envío,Accidentalmente cancelé la disputa
0,¿Todos tienen un número al que podría llegar?,¿Tienes un número de teléfono que puedo llamar?
0,Necesito los diez mejores artículos que se vendieron en 2017 en alta,¿Qué sucede si un artículo está agotado?
0,?Cómo puedo acceder a viejos pedidos?,¿Dónde puedo encontrar los mensajes viejos del vendedor?
1,no puedo subir,¿Por qué no puedo subir fotos?
0,83974595929155 ese es el nro de envio,¿Cuál es el estado de mi disputa?
0,Quiero enviar mi pedido todo,Quiero borrar todo en mi lista de pedidos
1,anule un pedido y no he recibido el reembolso en la tarjeta,No he recibido el reembolso y mi pedido ha sido cancelado.
1,puedo cambiar el tamaño,¿Cómo puedo cambiar el tamaño?
0,agregar videos en disputa,añadir a la lista de deseos
0,Todavía no escucho nada sobre el contacto mij que tenemos antes,Me han cobrado pero el pedido aún está esperando mi pago
0,cómo hago con un pedido que la oferta del vendedor de reembolso es de 0,Quiero mi reembolso. ¿Cómo hago que la disputa se resuelva?
0,"El dinero no fue devuelto a mi cuenta, aunque la disputa se resolvió en su totalidad, ya han pasado 2 meses y no hay dinero",Mi dinero ha sido retirado de mi banco pero no obtuve la confirmación
0,Alguien ha pedido algo en mi nombre y necesito resolverlo,He pagado y mi pedido ha sido cancelado por email.
1,¿Quién puede ayudarme por favor?,quien me ayuda
0,Intento buscar en mi cuenta el número de pedido pero ya no lo veo.,¿Cómo saco algo de mi pedido? Ya no lo quiero.
0,?Mi pedido se va a enviar por mar o aire?,¿Por qué no se muestra mi pedido?
0,"No, necesito una respuesta tuya.",No me responderás.
0,qué fue eso,"Que es el amor""?"""
1,Mi problema aquí es que mi pedido no se recibe y su servicio de atención al cliente no es accesible. Por favor ayuda.,"Por favor, conéctame al servicio al cliente"
1,No estoy de acuerdo con la resolución final,No estoy de acuerdo con la solución de la disputa.
1,"Solo quiero recuperar mi dinero, esa es mi única pregunta",¿Cómo recupero mi dinero?
0,La pregunta está en la lista de arriba,Pagué y la solicitud aún no figura como pagada.
0,cómo gestionar los comentarios,Administrar mis transacciones
1,"Lo sentimos, su transacción no pasó la verificación debido a razones de seguridad. La transacción ha sido cerrada.",¿Por qué la orden se cerró por razones de seguridad?
0,solo quiero saber los tamaños de cambio,"Acabo de pedir algo, pero quiero cambiar el nombre del receptor"
0,No devolvió,no recibí la entrega ni devolución de dinero
1,el envío fue cancelado,Mi pedido está cerrado por Sin envío.
0,Lo que tengo que hacer para que mi vendedor pueda ajustar un precio,No he recibido mi orden. ¿Que puedo hacer?
1,¿Cómo editar el perfil?,¿Cómo edito mi perfil?
0,"la disputa ha terminado, pero las bolsas de té todavía no han llegado","mis pedidos recibieron un mensaje de ""terminado pero aún no han llegado""."
0,"Hola, no he recibido mi pedido",No he recibido un reembolso parcial de mi pedido
0,"Sabs que me sale que no he pagado un producto, pero me llego la confirmacion del banco que si se realizo el cobro",El vendedor prometió que si cancelaba la disputa me haría el reembolso. ¿Puedo confiar en él?
0,envío rápido de mensajería,mi mensajero cambia la dirección de envío
0,hola la información mostró ENTREGADO ¿FALLÓ? ¿QUE SIGNIFICA ESTO?,cómo está el tiempo hoy
0,"Hola, tengo un problema con mi pago.",Tengo un problema con mi orden
0,No puedo escribir ingles,¿Cómo puedo escribir comentarios para los productos?
1,"por favor, dame el número de teléfono del servicio al cliente tengo problemas para pagar por 2 días sé","por favor, tiene un teléfono de servicio al cliente"
0,?Dónde está la respuesta?,¿Dónde está la información de la disputa?
0,CON EL JOVEN JOSE,Tengo un problema con el pago.
0,El producto llegó pero no puedo transferir el dinero al vendedor,¿Cuándo daré dinero por un producto?
1,¿Es posible?,¿Es posible cambiar los comentarios?
1,¿Qué significa: su orden será cerrada?,¿Qué significa un pedido ha sido cerrado?
0,guardar detalles de la tarjeta,¿Cuáles son los detalles del producto?
0,"qué tarjeta digo, quiero abrir una disputa y la página me da error","Después de hacer clic en iniciar sesión, aparece un mensaje de error"
0,¿No creé una cuenta cuando pedí mi producto?,He pedido productos pero no recibí mi pedido
0,"Quiero saber, ¿qué pasa con mis causas?",¿Qué pasará si el vendedor no responde a mi disputa?
1,Imposible crear una cuenta,No puedo crear una cuenta
0,"Nunca voy de compras con tu asiento, pero hay 5 pagos con mi tarjeta",Pedí 5 piezas pero solo recibí 3
1,hablar con atención al cliente,Me gustaría hablar con un agente de atención al cliente.
1,Quiero factura,Quiero una factura
0,"Mi tarjeta sigue siendo denegada, ¿cómo puedo solucionar eso?",¿Cómo puedo hacer si me roban mi tarjeta?
0,equipo de soporte de pago,El equipo de gestión de clientes no ayuda
0,El cargador inalámbrico que recibí está defectuoso y no se carga,¿Puedo cargar con Euro?
0,el vendedor acaba de decir que necesita esperar algunos días.,necesito algo de ayuda
1,cómo desactivar mi cuenta?,cómo puedo desactivar mi cuenta
0,No recibí respuesta a mi solicitud de reembolso por artículos fallas de producción chat za Domingo,Quiero revisar la solicitud de reembolso
0,?Cómo establecer tarjeta principal?,¿Cómo puedo establecer un método de pago automático?
1,Sigo recibiendo mis pedidos cancelados por razones de seguridad.,¿Por qué mi pedido está cerrado por razones de seguridad nuevamente?
0,¡No puedes hablar sobre el tema del vendedor! Obtendrás mi imail.,"¿Tiene un número de contacto al que podría llamar para hablar sobre mi disputa, por favor?"
0,No sé cuál será la respuesta.,puedo saber el correo electrónico de soporte
1,puede ayudarme,usted no me puede ayudar
0,¿Cómo presento una apelación?,No puedo presentar pruebas a mi caso
0,Tuve una disputa,Abrí la disputa y no tuve comentarios del vendedor.
1,orden largo tiempo?,¿Por qué el tiempo de envío es tan largo?
0,¿Cómo aplico el servicio de garantía?,¿Cómo llego al servicio al cliente?
1,usted es una computadora?,¿Eres una computadora o recibes mi pregunta?
0,buen dia quiero saber como el status de mi reembolso de una compra que no se autorizo,Necesito una factura de mi compra.
0,Hice un pedido de España a España,hola de españa
0,¿Qué te sucede?,"Le he enviado una copia de mi tarjeta de crédito, mi estado de cuenta y mi identidad. ¿Lo que sucederá?"
0,necesito verificar mi orden,¿Cómo verifico dónde está mi pedido?
0,¿Cómo puedo obtener un reembolso?,¿Cómo puedo obtener un reembolso de Yandex?
0,¿Cómo puedo apelar mis órdenes que no fueron procesadas por razones de seguridad?,Mi pago no fue aprobado
0,Me gustaría saber sobre el arancel adicional. ¿Qué es? ¿Cómo puedo usar?,Me gustaría saber sobre esta orden
0,cuida de mí por favor,¿Miras noticias?
0,y ha finalizado,Me he casado y mi apellido ha cambiado.
1,¿Cómo cargo una foto?,¿Cómo puedo subir el archivo?
0,cómo verificar su número de orden,¿Has verificado mis problemas con el número de pedido?
1,"Hola, vivo en Canadá y actualmente estoy rastreando mi paquete y el estado dice que ha llegado al país de destino pero dice que está en Estambul. ¿Mi paquete fue enviado al país equivocado?",la orden fue enviada al país de destino equivocado
0,configurar la dirección de envío,¿Por qué mi dirección de envío no es aceptada?
0,"Al final ayer transporte el coche con una grúa a un taller y con una simple diagnosis multimarca, archivos que les he enviado a él y están colgados en http://tinypic.com/","Cuando recibo el email con mi pedido hago clic en él, pero dice que no puedo verlo."
1,Cancelé un pedido y necesito mi dinero para volver a mi tarjeta inmediatamente,"Si mi orden no es verificada, ¿me devolverán mi dinero?"
0,"He estado en esta línea más de una hora hablando en persona, es mejor, es mejor para mí, ya que puedes ver que esto es difícil",Me han cobrado demasiado
0,Accidentalmente cancelé mi orden,Cancelé la orden donde mi dinero por los bienes?
0,"Señor, tengo que comprarle un producto señor","Hei, tengo un problema con una compra"
1,Eres capaz de ayudarme,¿Me podría ayudar?
0,Cómo obtener puntos de recompensa,No tengo mis puntos
0,y sé que tienes una gran base de mercado en Nigeria,si uso talla usa grande es lo mismo que china
0,Hola cuando aceptas mi orden cancelada,Aceptan MasterCard
0,Método de envío SPSR,Quiero saber el tiempo de entrega de cada método de envío
0,cómo poner información de envío en la disputa,¿Dónde está la información de la disputa?
0,"Quiero enviar un pedido, pero el sistema está ocupado. ¿Que debería hacer?",¿qué tamaño debo pedir?
0,?Dónde está la respuesta?,¿Dónde puedo ver la respuesta del proveedor?
1,no me deja enviar la disputa ni cargar la imagen,No me deja hacer una disputa sobre el pedido.
0,"Hola buenas tardes me gustaría hacer una pregunta, realicé mi pedido y esperé la confirmación del mismo, y la página me dijo que el seguimiento estaría disponible en 5-10 días. Los días han pasado y no puedo rastrear mi pedido, ¿qué está pasando?",me gustaría llamar tengo una pregunta
1,sin cuenta de paypal?,¿Se acepta PayPal como método de pago?
0,el 22 de AGOSTO REALICE UNA COMPRA NUMERO DE PEDIDO 85954619743930,¿Recibo mi dinero de vuelta si cancelo una compra?
0,"Hola, estoy teniendo problemas con mi pago",Tengo problemas para crear una cuenta
0,¿Dónde está el cupón?,¿En qué estado se encuentra?
0,No hay nadie para contestar??????,No hay opción para abrir disputa.
0,Pedí bolsitas de té en noviembre,el paquete que pedí dice que fue entregado a otro país
1,hoy vi algo que quiero comprar Yo estoy a la venta. la venta se cerrará ahora. No puedo comprar porque no puedo iniciar sesión en el sitio. ¿Que puedo hacer?,No puedo iniciar sesión en su cuenta. ¿Que puedo hacer?
0,cuando mi cancelado,¿Cuándo recibiré mi reembolso por la orden cancelada?
0,cómo agregar video a la disputa?,cómo agregar amigos por TM
0,"Traté de extender la protección de compra pero el vendedor guarda silencio. Cuando intento abrir una disputa, el sistema no me permite hacerlo.",Me está dando un error cuando intento comprar
0,Hola Eva! necesito eliminar mi tarjeta de crédito anterior y registrar una nueva tarjeta de crédito,Alguien usó mi tarjeta de crédito sin autorización
0,"quiero saber si hay algun problema para el envio de mi producto, gracias",¿Hay algúna tasa si quiero mi producto en India?
0,"Usted rechazó mi disputa sobre un producto, mientras yo enviaba las fotos solicitadas al vendedor. ¿Cómo desafiar esta decisión?",¿Puedes tomar una decisión sobre mi disputa?
0,"aun no me dan respuesta, y necesito seguir haciendo unas compras",Me he registrado y necesito mi cupón de nuevo miembro.
0,Él me lo escribió ayer,el vendedor cambia de operador sin avisarme y ahora quiere que pague cargos adicionales
0,"HOLA, HAGO UNA ORDEN Y NO PUEDO PAGAR, SIEMPRE TENGO EL MISMO MASAJE",¿Cómo pago todo al mismo tiempo?
0,mi pedido no es como en la web,¿Cómo consulto la página web en ruso?
1,Necesito contacto con una persona real,¿Tiene un número de teléfono de contacto para poder hablar con una persona real?
0,cómo agregar evidencia a disputa?,¿Cuánto dura el examen de la evidencia de la disputa?
1,cambiar la información de la tarjeta,¿Cómo puedo cambiar mi pago a otra tarjeta?
0,"Incluso informé al vendedor, pero aún no hubo efecto","Accidentalmente confirmé la recepción del paquete, el paquete aún no ha llegado."
1,este enlace está vacío,Donde esta el enlace
0,¿Qué significa el envío cancelado?,"¿Qué significa esperar la entrega ""significa""?"
0,"para encontrar mi número de orden, etc.",No puedo encontrar mi número de seguimiento
0,cuantos elementos agrego en mi lista de deseos,No puedo agregar a mi lista de deseos
0,Necesito mi dinero en mi tarjeta hoy,¿Cuándo recuperaré mi dinero?
0,"hola, han enviado mi paquete a otra dirección pero no puedo abrir disputa porque mi cuenta esta desactivada, ¿que puedo hacer?",Mis puntos de privilegio no se han añadido a mi cuenta. ¿Qué puedo hacer?
1,¿Cómo cambio la contraseña?,No recuerdo la contraseña
0,"Oye. Mi cuenta está bloqueada Soy un comprador honesto, no abrí disputas sin ningún motivo. Le pido que desbloquee la cuenta.","Ya no estoy por negocios, ¿pueden suspender mi cuenta?"
0,El producto se ha acabado ...,¿Cómo puedo saber que el proveedor ha enviado el producto?
0,No puedo pagar mi pedido y espero que mi tarjeta no haya sido cargada varias veces a ciegas,mi pedido no ha sido enviado
1,¿Cuál es mi orden?,que etapa es mi orden
0,"Lo siento pero es demasiado para que lo hagas humano, ¡dices muchas repeticiones!",¿Eres una persona humana o una máquina?
0,eso no funciona,Mi producto no funciona
0,"Hola, mi pago no se está procesando y sé que mi tarjeta de crédito funciona",Pagué con tarjeta de crédito. ¿Cuándo se confirmará mi pago?
1,Disputa cerrada a favor de la tienda,¿Por qué se cerró el caso de disputa sin informarme?
0,"Espero que puedas entenderlo. Espero con interés escuchar de usted para confirmar, gracias de antemano. Atentamente.",eres mejor
0,"si ya page mi pedido y lo cancelo en cuanto tiempo recibo el rembolso, el vendedor no a procesado mi pedido ya que lo realice unas horas antes","Quiero cancelar mi pedido, pero el vendedor lo envíó de todas formas."
0,?Por qué no se verifica el pago?,¿Por qué el pago no se procesa? El código de error es IPAY_RS_10001_.
0,"Solo puedo hablar japonés Sin embargo, puede responder en el sitio de traducción.",¿Por qué solo hablas inglés?
0,"no, no puedo seguir mi orden",¿Puedes seguirme?
0,Tengo muchos problemas con tus compradores,¿Puedo contactar a otros compradores?
0,"hola, ¿cómo puedo importar elementos a mi sitio web para el envío directo",¿Cuántas aduanas o derechos de importación debo pagar?
0,Cómo restablecer su contraseña,intenté restablecer la contraseña pero no funcionó
0,¿Dónde está la página del cupón?,¿Esta página es segura?
0,"Necesito ayuda con una orden que intento ubicar. Cada vez que hago clic para comprar, simplemente vuelve al carrito de compras sin comprarlo.",acabo de hacer un pedido
0,Quiero ver mis detalles de rastreo,Quiero eliminar los detalles de mi tarjeta
0,tienes otro modo para pagar. sin tarjeta,Intenté pagar este pedido con una tarjeta de visita y sigo recibiendo un rechazo
0,envíenos un correo electrónico,¿Qué tamaño es 7 en nosotros?
1,Cómo contactar al vendedor,¿Cómo puedo contactar al vendedor?
1,Tiempo de entrega estimado.,Quiero saber el tiempo de entrega de cada método de envío
0,"El tiempo de procesamiento ha terminado, y el vendedor no ha enviado el producto",¿Cuándo recibiré el reembolso si la disputa ha terminado?
0,para pedirle mi orden a alguien,¿Puedes preguntarle a alguien sobre el reemplazo?
1,no me deja abrir disputa,La página no me deja abrir una disputa.
0,mi orden no se está moviendo,mi orden NO
0,¿Por qué no puedo ordenar?,¿Por qué cancelé una orden?
0,"Quiero el artículo, el vendedor no responde mis mensajes",quiero mi artículo
0,Tengo muchos problemas con tus compradores,Tengo algunos problemas con mi cuenta
0,cómo eliminar la tarjeta,¿Cómo elimino mensajes?
0,?Cómo puedo hacer cambios en mi perfil?,No puedo encontrar mi perfil de miembro.
1,cómo verificar si el vendedor es confiable.,¿Puedes verificar si el proveedor es confiable para mí?
0,"Quiero el artículo, el vendedor no responde mis mensajes",¿Cómo me comunico con el proveedor?
0,cómo bloquear mensajes,¿Cómo elimino mensajes?
0,Pedido recibido sin problemas ok,¿Puedo dejar valoraciones sin ningún pedido?
1,necesito ayuda con,Necesito ayuda hombre.
0,no tiene nada que ver con mi orden,¿Cómo confirmo que mi pedido ha sido recibido?
1,¿Cómo puedo cambiar los datos de mi tarjeta de crédito?,Necesito cambiar los detalles de mi tarjeta de crédito.
1,cómo ningún número de teléfono he estado en este servicio durante más de una hora,Quiero número de teléfono de servicio al cliente
0,Quiero que un producto publicite en YouTube gratis,¿Cómo encontrar el producto que quiero?
0,guardar información de la tarjeta,No guardará las cosas en mi lista de deseos
0,Hablaré contigo luego,¿Puede alguno de ustedes hablar en árabe?
1,Añadir nueva Dirección de Envío,¿Puedo agregar más dirección de envío?
0,"por favor, alguien que sepa español, me resulta difícil escribir y traducir y luego traducir lo que me escribe",por favor dime que paso con mis articulos
0,¿Puedes decirme cuándo se entregarán mis pedidos?,Por favor dígame cómo puedo obtener cupones.
0,¿Has dado una respuesta?,Abrí la disputa pero no recibí una respuesta
0,cómo pagar la orden diaria china,Cómo pagar por preventa
0,no quiero cancelar,no hablo ingles bien
0,Estoy tratando de usar un cupón,cómo usar el cupón de nuevo
0,cómo cambiar los detalles,Cómo cambiar el idioma al inglés
0,"Hola, a día de hoy no he recibido ninguna noticia de l pedido",No he recibido reembolso del número de pedido.
0,la transacción se completa,Nunca confirmo mi pedido como recibido pero mi transacción se completa
0,muchas gracias podras ayudarme necesito compmrar de argentina para que el envio,¿Pueden ayudarme con el número de cuenta bancaria que usan?
1,Se ha estropeado y el vendedor no responde a mis mensajes,El vendedor no respondió mis mensajes.
0,"buen día hice una compra hace 6 meses y no llegó, el vendedor dice que tuvo problemas con la aduana. pero no me ha solucionado ni el reembolso ni el producto Necesito ayuda ya que no me responde",Él me ha enviado correos electrónicos realmente desagradables
0,Cada vez que voy a pagar me dice que ha ocurrido un error desconocido,Ahora me ha llegado un email que dice que mi pedido ha sido cancelado porque no pagué.
0,Cómo enviar video,Intenté abrir una disputa para un pedido que no puedo enviar
0,Hola veo mi mensaje que te envié hace un minuto,¿Cómo puedo ver el mensaje?
